Candidate_ID,Candidate_Age,Candidate_Gender,Candidate_Marital_Status,Candidate_Highest_Degree,Candidate_Field_of_Study,Candidate_Institution_of_Graduation,Candidate_Research_Areas,Candidate_Relevant_Projects,Candidate_Publications_Count,Candidate_Work_Experience,Candidate_Specific_Roles_Held,Candidate_Industry_Experience,Candidate_Technical_Skills,Candidate_Certifications,Candidate_Achievements_Awards,Candidate_Career_Goals,Candidate_Desired_Specialization
Candidate_40,43,Male,Single,PhD,Computer Science,Harvard,Cloud Computing,Project A,8,11,Software Engineer,12,Java,AWS Certified,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_41,49,Non-binary,Married,MSc,Computer Science,Harvard,Cloud Computing,Project B,8,15,Data Scientist,17,Python,Cisco Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_42,24,Female,Single,BSc,Mechanical Engineering,Stanford,AI,Project A,15,30,Software Engineer,12,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_43,38,Male,Single,PhD,Mechanical Engineering,Harvard,Cloud Computing,Project A,47,1,Research Assistant,10,C++,Cisco Certified,None,Lead a Research Team,Quantum Computing
Candidate_44,27,Male,Single,BSc,Computer Science,MIT,Cloud Computing,Project A,8,26,Research Assistant,12,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_45,46,Male,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project A,22,11,Software Engineer,17,C++,AWS Certified,None,Become a Senior Engineer,Machine Learning
Candidate_46,23,Female,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project C,3,2,Software Engineer,7,Java,None,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_47,48,Male,Married,BSc,Computer Science,Harvard,Cybersecurity,Project C,40,20,Research Assistant,10,Python,None,Employee of the Month,Pursue a PhD,Blockchain
Candidate_48,29,Female,Married,BSc,Mechanical Engineering,MIT,Cloud Computing,Project B,50,1,Data Scientist,26,Python,AWS Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_49,37,Female,Single,BSc,Electrical Engineering,Harvard,AI,Project C,48,29,Software Engineer,7,Java,None,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_50,23,Non-binary,Married,MSc,Computer Science,Harvard,Cloud Computing,Project A,36,21,Data Scientist,2,Java,AWS Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_51,29,Non-binary,Single,BSc,Mechanical Engineering,Harvard,AI,Project B,17,4,Data Scientist,23,Java,None,Employee of the Month,Lead a Research Team,Blockchain
Candidate_52,45,Female,Married,PhD,Computer Science,Harvard,AI,Project C,42,15,Data Scientist,5,C++,AWS Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_53,43,Female,Single,MSc,Mechanical Engineering,MIT,AI,Project C,44,20,Software Engineer,19,Java,Cisco Certified,None,Become a Senior Engineer,Machine Learning
Candidate_54,27,Male,Single,BSc,Electrical Engineering,MIT,Cybersecurity,Project A,39,1,Software Engineer,27,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_55,34,Female,Married,BSc,Computer Science,Stanford,Cloud Computing,Project A,17,16,Data Scientist,24,Python,None,None,Pursue a PhD,Blockchain
Candidate_56,33,Female,Married,BSc,Computer Science,Stanford,AI,Project C,31,4,Data Scientist,27,Python,None,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_57,46,Female,Married,BSc,Electrical Engineering,Harvard,Cybersecurity,Project C,31,20,Data Scientist,4,Java,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_58,32,Female,Married,MSc,Electrical Engineering,Stanford,Cybersecurity,Project A,30,12,Research Assistant,23,C++,AWS Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_59,30,Non-binary,Married,BSc,Computer Science,Stanford,Cloud Computing,Project B,4,19,Software Engineer,30,Java,AWS Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_60,30,Male,Married,BSc,Computer Science,Harvard,Cybersecurity,Project B,14,6,Research Assistant,6,C++,AWS Certified,None,Pursue a PhD,Quantum Computing
Candidate_61,29,Non-binary,Single,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project C,41,1,Software Engineer,25,Python,Cisco Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_62,41,Male,Single,PhD,Electrical Engineering,Harvard,Cybersecurity,Project C,40,14,Software Engineer,14,C++,None,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_63,44,Female,Single,BSc,Electrical Engineering,Harvard,AI,Project C,14,12,Software Engineer,19,Java,None,None,Lead a Research Team,Blockchain
Candidate_64,40,Non-binary,Married,PhD,Mechanical Engineering,MIT,Cybersecurity,Project A,49,1,Research Assistant,16,Java,Cisco Certified,Best Intern Award,Lead a Research Team,Blockchain
Candidate_65,44,Female,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project A,34,20,Research Assistant,14,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_66,34,Male,Single,MSc,Computer Science,Stanford,Cybersecurity,Project A,9,18,Software Engineer,16,Python,None,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_67,22,Non-binary,Married,BSc,Electrical Engineering,MIT,Cybersecurity,Project B,14,6,Research Assistant,17,Python,Cisco Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_68,29,Male,Single,BSc,Computer Science,Stanford,Cloud Computing,Project C,9,5,Research Assistant,23,Java,Cisco Certified,None,Lead a Research Team,Quantum Computing
Candidate_69,42,Male,Married,MSc,Computer Science,MIT,AI,Project B,45,2,Data Scientist,13,Java,AWS Certified,None,Become a Senior Engineer,Blockchain
Candidate_70,45,Non-binary,Married,BSc,Computer Science,Harvard,AI,Project C,7,23,Data Scientist,2,Python,None,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_71,25,Non-binary,Single,MSc,Electrical Engineering,Harvard,Cloud Computing,Project A,47,5,Data Scientist,27,Python,AWS Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_72,27,Female,Married,MSc,Electrical Engineering,Stanford,Cybersecurity,Project A,0,18,Research Assistant,30,Java,Cisco Certified,None,Become a Senior Engineer,Machine Learning
Candidate_73,48,Male,Married,BSc,Electrical Engineering,MIT,AI,Project B,26,25,Software Engineer,3,Python,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_74,40,Female,Single,MSc,Computer Science,Stanford,Cloud Computing,Project B,4,18,Research Assistant,11,C++,Cisco Certified,None,Lead a Research Team,Machine Learning
Candidate_75,36,Non-binary,Single,BSc,Computer Science,Stanford,Cloud Computing,Project A,32,23,Data Scientist,11,Java,AWS Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_76,22,Female,Single,PhD,Computer Science,MIT,Cloud Computing,Project B,2,1,Research Assistant,4,Python,None,None,Lead a Research Team,Blockchain
Candidate_77,38,Male,Single,MSc,Computer Science,Stanford,Cybersecurity,Project A,41,22,Research Assistant,6,Python,Cisco Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_78,33,Non-binary,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project C,11,30,Research Assistant,10,Java,None,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_79,31,Female,Married,PhD,Mechanical Engineering,Stanford,Cloud Computing,Project B,7,16,Research Assistant,22,Python,Cisco Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_80,47,Female,Single,MSc,Mechanical Engineering,Stanford,Cybersecurity,Project B,17,10,Data Scientist,27,Java,AWS Certified,None,Pursue a PhD,Blockchain
Candidate_81,39,Female,Married,PhD,Electrical Engineering,MIT,AI,Project A,18,1,Research Assistant,8,Python,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_82,25,Male,Single,BSc,Mechanical Engineering,MIT,Cloud Computing,Project B,3,26,Software Engineer,21,Python,AWS Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_83,34,Male,Married,PhD,Computer Science,Stanford,Cloud Computing,Project B,36,11,Software Engineer,28,C++,Cisco Certified,None,Lead a Research Team,Machine Learning
Candidate_84,33,Non-binary,Married,MSc,Electrical Engineering,Harvard,Cybersecurity,Project B,48,7,Research Assistant,1,Java,Cisco Certified,Employee of the Month,Lead a Research Team,Blockchain
Candidate_85,23,Male,Married,MSc,Computer Science,MIT,Cybersecurity,Project B,47,29,Software Engineer,12,Python,Cisco Certified,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_86,36,Non-binary,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project B,16,9,Data Scientist,8,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_87,32,Non-binary,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project B,2,28,Software Engineer,5,C++,None,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_88,42,Non-binary,Married,MSc,Electrical Engineering,Stanford,AI,Project C,20,11,Software Engineer,8,Python,Cisco Certified,None,Pursue a PhD,Blockchain
Candidate_89,39,Non-binary,Married,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project B,19,30,Software Engineer,2,C++,AWS Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_90,36,Male,Married,PhD,Electrical Engineering,Harvard,Cybersecurity,Project A,27,29,Software Engineer,3,Java,Cisco Certified,None,Become a Senior Engineer,Blockchain
Candidate_91,44,Non-binary,Single,MSc,Mechanical Engineering,Stanford,AI,Project B,16,19,Research Assistant,15,Java,None,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_92,48,Male,Married,BSc,Electrical Engineering,Stanford,AI,Project A,39,17,Data Scientist,4,Python,Cisco Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_93,33,Non-binary,Single,MSc,Mechanical Engineering,Harvard,Cybersecurity,Project C,28,24,Research Assistant,21,Java,Cisco Certified,None,Lead a Research Team,Machine Learning
Candidate_94,48,Male,Married,BSc,Computer Science,Harvard,Cybersecurity,Project A,29,2,Software Engineer,23,Python,Cisco Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_95,35,Non-binary,Single,MSc,Electrical Engineering,Stanford,Cloud Computing,Project C,12,9,Software Engineer,25,C++,AWS Certified,None,Pursue a PhD,Machine Learning
Candidate_96,47,Non-binary,Single,PhD,Mechanical Engineering,MIT,Cloud Computing,Project A,9,7,Software Engineer,13,Java,AWS Certified,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_97,45,Female,Married,PhD,Computer Science,Stanford,AI,Project B,26,20,Data Scientist,6,Java,AWS Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_98,26,Non-binary,Single,BSc,Computer Science,MIT,Cybersecurity,Project B,49,18,Research Assistant,17,Python,None,None,Become a Senior Engineer,Blockchain
Candidate_99,34,Non-binary,Married,PhD,Mechanical Engineering,MIT,Cybersecurity,Project B,45,26,Research Assistant,25,Python,Cisco Certified,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_100,45,Female,Married,MSc,Electrical Engineering,Stanford,Cloud Computing,Project B,46,24,Research Assistant,28,C++,None,None,Pursue a PhD,Quantum Computing
Candidate_101,25,Male,Married,BSc,Electrical Engineering,Harvard,Cloud Computing,Project B,2,17,Research Assistant,16,Java,None,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_102,30,Non-binary,Married,PhD,Electrical Engineering,Harvard,AI,Project B,31,12,Data Scientist,3,C++,None,None,Become a Senior Engineer,Quantum Computing
Candidate_103,46,Female,Married,PhD,Mechanical Engineering,Harvard,Cybersecurity,Project C,1,10,Software Engineer,20,C++,Cisco Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_104,25,Female,Married,PhD,Mechanical Engineering,Stanford,AI,Project B,26,3,Software Engineer,28,Java,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_105,23,Female,Married,BSc,Electrical Engineering,Harvard,Cloud Computing,Project A,48,17,Data Scientist,28,C++,Cisco Certified,None,Become a Senior Engineer,Machine Learning
Candidate_106,46,Male,Single,PhD,Electrical Engineering,MIT,Cybersecurity,Project A,12,10,Research Assistant,25,C++,Cisco Certified,None,Pursue a PhD,Blockchain
Candidate_107,23,Male,Married,BSc,Mechanical Engineering,MIT,Cybersecurity,Project C,36,6,Data Scientist,21,C++,AWS Certified,None,Lead a Research Team,Machine Learning
Candidate_108,41,Male,Married,PhD,Electrical Engineering,Stanford,AI,Project A,6,9,Data Scientist,14,Java,None,None,Pursue a PhD,Machine Learning
Candidate_109,29,Non-binary,Married,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project C,31,28,Research Assistant,27,Python,Cisco Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_110,42,Female,Single,MSc,Electrical Engineering,Harvard,AI,Project A,7,28,Research Assistant,17,Python,Cisco Certified,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_111,33,Female,Single,MSc,Mechanical Engineering,Stanford,Cloud Computing,Project B,49,18,Software Engineer,30,Python,AWS Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_112,25,Non-binary,Married,PhD,Computer Science,Harvard,Cloud Computing,Project C,18,11,Research Assistant,27,C++,None,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_113,29,Male,Married,BSc,Computer Science,Harvard,Cybersecurity,Project A,19,21,Data Scientist,1,Java,Cisco Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_114,41,Non-binary,Married,BSc,Computer Science,Stanford,Cybersecurity,Project A,33,14,Data Scientist,29,C++,Cisco Certified,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_115,44,Non-binary,Single,BSc,Computer Science,MIT,Cybersecurity,Project B,11,18,Software Engineer,2,Python,None,None,Become a Senior Engineer,Blockchain
Candidate_116,49,Non-binary,Married,MSc,Mechanical Engineering,Stanford,Cloud Computing,Project A,26,20,Data Scientist,28,Java,Cisco Certified,Employee of the Month,Lead a Research Team,Blockchain
Candidate_117,36,Female,Single,MSc,Mechanical Engineering,MIT,AI,Project B,25,19,Research Assistant,4,Java,AWS Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_118,36,Male,Married,BSc,Electrical Engineering,MIT,Cybersecurity,Project B,27,16,Research Assistant,12,Python,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_119,42,Male,Married,MSc,Computer Science,Harvard,Cybersecurity,Project A,5,22,Software Engineer,18,Python,None,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_120,38,Non-binary,Single,MSc,Computer Science,Harvard,AI,Project B,27,11,Research Assistant,21,C++,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_121,39,Male,Married,BSc,Mechanical Engineering,Harvard,Cloud Computing,Project A,31,30,Software Engineer,1,Python,AWS Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_122,33,Female,Married,PhD,Computer Science,Stanford,Cybersecurity,Project A,26,28,Research Assistant,5,Java,Cisco Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_123,38,Female,Married,MSc,Computer Science,Stanford,Cloud Computing,Project B,24,18,Software Engineer,21,Java,Cisco Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_124,40,Female,Single,PhD,Electrical Engineering,Harvard,Cloud Computing,Project A,22,12,Research Assistant,7,Python,AWS Certified,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_125,40,Male,Married,MSc,Electrical Engineering,MIT,AI,Project B,48,14,Research Assistant,30,Java,AWS Certified,None,Pursue a PhD,Quantum Computing
Candidate_126,30,Female,Single,BSc,Computer Science,Stanford,Cloud Computing,Project C,17,12,Software Engineer,30,Python,Cisco Certified,Employee of the Month,Lead a Research Team,Blockchain
Candidate_127,34,Female,Married,MSc,Computer Science,Harvard,Cloud Computing,Project B,10,25,Software Engineer,22,Java,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_128,23,Non-binary,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project C,43,30,Data Scientist,21,C++,AWS Certified,None,Pursue a PhD,Quantum Computing
Candidate_129,23,Female,Single,MSc,Computer Science,MIT,AI,Project A,2,11,Software Engineer,27,C++,None,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_130,50,Female,Single,BSc,Computer Science,Harvard,Cybersecurity,Project A,10,13,Software Engineer,3,Python,Cisco Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_131,28,Male,Single,BSc,Computer Science,MIT,Cloud Computing,Project B,16,3,Data Scientist,30,C++,None,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_132,49,Female,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project A,30,18,Software Engineer,27,Java,None,Best Intern Award,Lead a Research Team,Blockchain
Candidate_133,40,Female,Single,BSc,Mechanical Engineering,Harvard,Cybersecurity,Project A,3,5,Software Engineer,3,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_134,37,Female,Married,BSc,Computer Science,MIT,AI,Project B,27,14,Software Engineer,4,Java,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_135,25,Non-binary,Single,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project A,6,21,Research Assistant,10,C++,None,None,Become a Senior Engineer,Machine Learning
Candidate_136,40,Male,Married,MSc,Computer Science,Harvard,Cloud Computing,Project B,45,17,Software Engineer,6,Java,AWS Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_137,46,Non-binary,Married,BSc,Computer Science,MIT,Cloud Computing,Project A,28,16,Software Engineer,8,C++,None,Employee of the Month,Become a Senior Engineer,Machine Learning
Candidate_138,29,Male,Married,PhD,Mechanical Engineering,Harvard,Cloud Computing,Project C,21,16,Data Scientist,13,Java,Cisco Certified,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_139,42,Male,Married,BSc,Mechanical Engineering,Harvard,AI,Project B,47,4,Data Scientist,1,C++,None,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_140,44,Female,Single,PhD,Mechanical Engineering,MIT,Cloud Computing,Project B,23,24,Research Assistant,29,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_141,30,Male,Single,BSc,Computer Science,Stanford,Cloud Computing,Project A,23,10,Research Assistant,26,Python,Cisco Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_142,27,Female,Single,PhD,Computer Science,Harvard,AI,Project C,30,10,Data Scientist,12,Java,Cisco Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_143,45,Male,Married,BSc,Computer Science,Harvard,Cloud Computing,Project C,26,19,Research Assistant,17,C++,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_144,39,Non-binary,Single,MSc,Mechanical Engineering,Harvard,Cloud Computing,Project B,31,8,Research Assistant,12,C++,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_145,45,Female,Single,BSc,Computer Science,Harvard,Cybersecurity,Project B,19,27,Data Scientist,11,Java,Cisco Certified,None,Pursue a PhD,Blockchain
Candidate_146,40,Female,Married,BSc,Electrical Engineering,Harvard,AI,Project C,31,30,Software Engineer,26,Python,AWS Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_147,27,Female,Married,BSc,Computer Science,MIT,AI,Project A,23,25,Research Assistant,15,C++,None,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_148,26,Female,Single,BSc,Electrical Engineering,Stanford,Cybersecurity,Project B,17,8,Research Assistant,30,Java,AWS Certified,Best Intern Award,Pursue a PhD,Quantum Computing
Candidate_149,29,Non-binary,Single,PhD,Mechanical Engineering,Harvard,AI,Project C,24,5,Research Assistant,26,Python,AWS Certified,Employee of the Month,Pursue a PhD,Quantum Computing
Candidate_150,48,Non-binary,Single,PhD,Electrical Engineering,Harvard,Cloud Computing,Project B,27,11,Research Assistant,13,C++,None,None,Lead a Research Team,Quantum Computing
Candidate_151,30,Non-binary,Single,BSc,Mechanical Engineering,Harvard,Cybersecurity,Project C,49,4,Software Engineer,1,Python,Cisco Certified,None,Pursue a PhD,Blockchain
Candidate_152,46,Female,Single,PhD,Electrical Engineering,MIT,Cloud Computing,Project B,20,1,Research Assistant,27,Python,AWS Certified,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_153,35,Non-binary,Married,MSc,Computer Science,Stanford,Cybersecurity,Project B,3,27,Data Scientist,30,C++,None,Employee of the Month,Pursue a PhD,Blockchain
